L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-12.693301,-7.917045,-13.045505,-10.914144,-4.670272,-4.19732,-5.8029685,-4.357554,-7.3989267,0.00112969346500733,0
-14.401357,-10.020287,-13.674455,-10.611235,-4.5257735,-4.7352753,-5.931647,-4.625475,-4.1209345,0.113054609989902,0
-11.925978,-8.873526,-11.8776245,-7.0208783,-3.1865458,-3.6373062,-5.0562043,-3.363988,-2.0201795,0.4814319489687,0
-6.444687,-7.7862906,-7.994854,-3.779133,-2.700557,-3.2723486,-6.290057,-4.2977915,-2.9435997,0.764812356352437,0
-1.0403157,-1.9252421,-1.7995869,-1.4181249,-1.4638667,-1.5809344,-1.1114141,-1.1280665,-2.142946,0.623688202307342,0.00112969346500733
-1.3696741,2.298897,-2.1043189,-3.026536,-2.013631,-1.4708312,-1.3181466,-1.6654012,-3.8317196,0.314716666162195,0.113054609989902
-3.1132329,-1.476961,-0.022331206,-1.1945797,-0.12501232,0.8079627,-1.3630046,-1.8945005,0.93267554,0.08912400646023,0.4814319489687
-2.0757284,-2.788534,1.8565308,0.18324792,-0.397259,0.00059022167,-1.9822274,-2.1765378,0.9387642,-0.026322119846557,0.764812356352437
-2.3044956,-3.0703459,0.29398715,1.4402813,-0.352478,-0.43178192,-1.6047379,-0.93857974,1.1492839,-0.0678730126335314,0.623688202307342
1.9401112,1.3383193,2.3642564,1.5184143,-0.68210936,-0.7961923,1.2526217,0.5005567,-0.0047481623,0.0424814257508068,0.314716666162195
1.0545396,0.25888887,0.48921177,1.0476177,-0.5959366,0.027503174,-1.40522,-0.02618863,1.8694167,0.427593487262564,0.08912400646023
-1.8606175,-1.1776842,3.434482,1.6899714,0.6068872,1.0453728,-2.0696363,-1.2529347,1.9157882,0.730724663823271,-0.026322119846557
3.81594,1.5405045,2.6414688,1.6656586,0.28760403,0.10086572,-0.41934314,0.13561405,2.5633693,0.60498311448698,-0.0686086797115319
1.7173524,2.1336937,4.1140785,0.3737617,1.0153568,0.39664897,0.30408004,-0.80172014,3.073988,0.305588581429501,0.018287951494262
1.9678756,1.3399774,4.4148173,1.6567883,1.7591037,1.8368495,-0.9001873,-0.023759978,3.474839,0.0850892688152043,0.385787297584792
-2.6810105,-1.63231,6.1843047,2.8006709,0.9224169,0.39962325,-1.8612365,-1.6316818,1.7951272,-0.0279603530225438,0.721137546336527
1.9008744,0.020402316,5.1178555,2.8558664,0.5598591,-0.33857435,-1.6472607,-0.6066631,0.61088496,-0.0695669775650166,0.633117658719495
6.1691513,5.0897818,5.145154,2.4401186,0.79560834,0.6416758,0.77706665,0.3607088,2.3813233,-0.0706892084778917,0.33462178104407
3.2658255,2.08178,4.262297,2.3424118,1.3135803,1.2226524,0.72727734,0.0010216554,2.961431,-0.0538384617061353,0.102179337479816
1.9423859,-1.0155076,1.0239726,1.5443978,1.2981516,2.0160098,-1.7719771,-0.6198415,3.196118,-0.0336936661421595,-0.0203131616772741
1.956222,0.041966815,1.8325223,1.4283416,1.3212968,1.3882475,0.1601551,-0.06305761,3.415705,0.0701560479129954,-0.0675883961668998
7.5144396,4.1589646,2.8949785,3.1226828,0.7630664,1.1609738,2.3552282,2.1478426,5.423808,0.430497674558233,-0.0716763696268932
4.1140723,2.430725,6.2269654,4.1946983,1.66862,1.3402517,1.7162863,0.59286225,5.645406,0.751190501220668,-0.055836287526795
3.5539465,1.5536759,6.336299,4.739195,2.9702203,2.1336064,-0.043445263,0.6261164,4.7048626,0.65018451336387,-0.0359310696525433
2.1062443,-0.88884956,5.7737527,3.2760458,2.4439747,1.6903127,0.65368366,0.7476063,4.014077,0.343579620697293,-0.0199741541584472
4.8715596,4.3233867,2.7580836,1.2899586,1.068247,1.5455638,2.2546751,1.3949777,3.8610523,0.194959186619403,-0.00985339840531056
0.8558113,0.45228973,0.23069677,1.7610565,2.0236573,2.943288,0.034795437,0.2023497,3.7583828,0.42095083078964,-0.00439562659539399
-3.5859733,-2.7878551,3.9376845,3.180171,1.1164161,0.956304,-0.3954379,0.22266282,1.6295254,0.688201114165272,-0.0017990049956025
3.30952,4.7755713,3.3126397,4.012126,0.20353043,-0.17267029,1.3707138,2.2147412,1.4634067,0.58026240115176,-0.000244144339123214
3.642884,6.0711403,5.1875973,2.6865883,0.7083297,0.8354925,3.3069582,1.4821123,1.8904421,0.287913578249969,0.088717729824707
3.461454,-0.4309074,1.1914588,2.4849057,0.9158571,1.4977812,-1.009063,1.6059556,1.3164722,0.0702830054722987,0.439625759290927
-1.9921651,0.83490056,1.4570396,2.4376562,0.6247965,1.418562,1.1515002,0.54509157,0.89053524,-0.0386490826597346,0.755225238865694
