L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-4.490712,-5.2568574,0.63354015,-3.37847,0.31668773,0.9360786,-1.0840862,-0.73089606,-2.2461872,0.00112969346500733,0
-3.1320097,-1.4284513,-0.8683334,-2.7315226,-1.8089643,-1.1469865,-1.6095263,-1.4744142,-2.7443023,0.113054609989902,0
1.1142688,-1.9631399,-0.57723844,1.0285755,-1.7267139,-1.2446156,-1.9640547,-0.43793288,-1.4780622,0.4814319489687,0
5.319125,1.2343136,2.483388,4.5853124,1.1814989,1.8397962,0.94928956,0.97266704,3.0550442,0.764812356352437,0
0.6659965,-1.6694232,2.0440145,3.1267543,0.558198,1.589254,1.6407757,0.58326656,1.5992283,0.623688202307342,0.000394026387006866
3.0838716,1.80184,2.784328,0.94037014,0.8737505,1.9078888,1.8589702,1.4115131,0.6076611,0.314716666162195,0.0888611357333571
5.97512,2.6719134,2.0597975,1.4328847,1.0115032,2.522639,1.0837339,0.975054,2.493234,0.08912400646023,0.439625759290927
5.440333,3.7205575,0.61651856,3.1562862,1.9611093,0.9407861,1.608418,1.328005,2.1411455,-0.026322119846557,0.755225238865694
3.2724092,2.1858678,1.8568318,4.193142,1.8505081,-0.71509516,1.9695832,1.5174294,0.9129216,-0.0686086797115319,0.651822746539856
3.5068533,2.9368925,2.0502722,0.28963354,-0.5018599,-0.30908215,0.076023854,-1.2719722,1.0663695,0.018287951494262,0.343749865776764
1.7353796,-0.6216053,1.8921472,0.6689977,-0.093175344,-0.47224447,-1.0081671,-1.5743133,-0.3954889,0.385787297584792,0.106214075124842
-1.1485202,-2.626532,0.3238674,1.384754,0.35596094,-0.6172027,0.6677077,-1.560184,-1.655938,0.721137546336527,-0.0186749285012874
-4.2868586,-4.5421743,-1.482694,-2.5554538,-2.8073177,-2.6080348,-3.5865707,-2.1860564,-4.019106,0.633117658719495,-0.0666300983134151
-1.6322955,0.006470185,-2.1290998,-4.396274,-1.9715426,-1.2226545,-1.8597549,-1.5260429,-2.7518606,0.33462178104407,0.0173007903452605
-7.3031764,-1.3615524,-1.7403477,-1.6285275,-1.3145047,-0.56785536,-0.9554496,-0.76015043,-1.822983,0.102179337479816,0.383789471764132
-1.820213,0.062091526,-0.67581505,7.211105e-05,-1.226611,-2.3548036,0.20029357,0.8198619,1.0072021,-0.0203131616772741,0.71929416921315
0.43789876,5.336926,-0.0058137346,1.553749,-0.15282772,-0.6866557,0.025716173,-0.17306851,-0.25828212,-0.0675883961668998,0.631848592381409
3.0273712,1.552237,0.7696562,0.15941282,1.0498357,1.2533374,-0.84976506,0.35517812,-0.5116812,-0.0716763696268932,0.333896467371453
