L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
4.826943,2.9127357,3.1920273,2.0950358,2.6629212,2.635425,1.9457039,2.272773,-0.71201634,0.00112969346500733,0
3.8855157,2.5642204,1.0872025,0.22495942,3.5005112,2.9498913,0.27389652,2.1080148,-1.1161414,0.113054609989902,0
8.068352,5.233561,1.3769071,1.4435682,2.2111034,1.723099,2.6752222,3.1009026,-1.1949911,0.4814319489687,0
4.742307,2.6231413,5.1353626,1.7814428,3.052457,2.9768898,0.9434341,0.84555686,3.7906084,0.764812356352437,0
0.9843122,-2.2491827,8.354755,2.9006622,4.0970116,3.786499,1.6997277,-2.036847,0.8597988,0.623688202307342,0.00112969346500733
-1.5133271,-2.7822223,1.4178954,1.9342569,-0.3156323,-0.28252682,-0.95893174,-2.3121936,-7.4718227,0.314716666162195,0.113054609989902
0.14287867,0.9168809,4.4497876,2.8654025,2.4372916,0.201844,-1.0251513,-1.1887176,-1.7591281,0.08912400646023,0.4814319489687
3.343464,0.74693704,4.9387097,4.6864557,2.7885246,0.6243212,-0.19818884,-1.222889,-0.75338364,-0.026322119846557,0.764812356352437
1.8872432,1.0412787,5.0643544,6.0916147,0.28368968,0.3720415,1.2688718,0.13470666,1.4527621,-0.0678730126335314,0.623688202307342
3.8925622,4.9606194,5.0024967,3.3453891,-0.34438217,0.5530149,3.6603348,1.1064188,3.0264816,0.0424814257508068,0.314716666162195
3.4895952,1.8323426,2.885952,0.4661377,-0.7118711,-0.14586706,0.44703382,-0.25363374,3.2608275,0.427593487262564,0.08912400646023
1.2108907,0.85287476,4.5936265,3.4217515,-0.8921533,-1.4442643,1.5476191,-0.4078029,3.715711,0.730724663823271,-0.026322119846557
1.0741976,-1.8111174,4.2817693,3.2290428,-1.7855128,-2.3154733,-0.09460617,-0.47726744,0.74461836,0.60498311448698,-0.0686086797115319
3.1860237,-2.02868,2.9581892,1.6112611,1.3305355,1.1094292,-0.1320656,-0.24437934,-0.842791,0.305588581429501,0.018287951494262
2.155839,-0.82362413,0.28695717,1.2794104,0.6121537,2.4760828,-1.3157862,-1.0538428,-3.2005913,0.0850892688152043,0.385787297584792
-0.31221458,-1.8626168,-0.028806502,-0.8047334,2.294528,2.0915217,-1.1289235,-1.4138968,0.14654116,-0.0279603530225438,0.721137546336527
-4.951866,-4.437322,-2.3562896,-2.543311,-1.5546193,0.18147443,-2.98972,-2.1586545,-0.5516431,-0.0695669775650166,0.633117658719495
-2.0944777,1.9105915,-0.6368975,-1.0754676,-2.9794912,-1.2843975,-0.12824655,-0.715177,-1.063523,-0.0706892084778917,0.33462178104407
-6.2666745,-6.187925,-1.9800054,-5.7666464,-2.9057775,-1.8959005,-4.4500146,-3.3152287,-2.2813451,-0.0538384617061353,0.102179337479816
-6.929992,-5.024535,-6.7410817,-3.9868727,-3.5874698,-3.0802171,-4.234391,-2.230578,-4.98456,-0.0336936661421595,-0.0203131616772741
-5.6643214,-3.0694795,-4.41622,-3.3431873,-0.67556125,-1.5642937,-6.085328,-3.0929835,-6.109736,0.0701560479129954,-0.0675883961668998
-2.3631442,-5.959662,-6.3765163,-3.1796277,-0.33938104,-0.5993417,-4.31177,-2.7600935,-4.722326,0.430497674558233,-0.0716763696268932
-2.020548,-2.1355588,-2.9930615,-1.5542891,-0.68899614,-0.25817406,-2.4634485,-1.5530863,-0.06501726,0.751190501220668,-0.055836287526795
-2.9205544,-3.3114543,-0.12913826,-1.473296,-0.66137624,0.5320218,-1.7868556,-0.8201979,-0.7853568,0.65018451336387,-0.0359310696525433
-0.2170116,-0.7313985,-1.2769328,0.21167424,-0.3082626,0.40838283,0.736079,-0.834368,0.8739607,0.343579620697293,-0.0199741541584472
-0.6377287,-0.0025332456,-0.038010035,0.3400687,-2.5741527,-1.3451104,-1.8141145,-1.4355967,0.5685272,0.194959186619403,-0.00985339840531056
-1.8040069,-2.267715,-2.6428368,-1.4581414,-4.4392915,-3.1944783,-2.7554376,-1.8709427,-1.3673201,0.42095083078964,-0.00439562659539399
-0.44365993,-0.84837353,-2.4585998,-1.0117041,-2.8952053,-1.6421454,-0.2546886,-1.4004074,-2.355534,0.688201114165272,-0.0017990049956025
1.4847353,-2.0242703,-1.5712396,0.04329524,-2.402863,-1.7415106,0.057893187,-0.6486953,-0.044655707,0.58026240115176,-0.000244144339123214
0.41313064,1.1629285,-0.7698164,0.029487995,-2.5963163,-1.4816569,0.16340838,0.25595856,0.6559517,0.287913578249969,0.088717729824707
-0.69397676,0.4572701,0.5706699,-0.504197,-2.9130063,-1.8771399,1.1883975,0.17237653,1.4844533,0.0702830054722987,0.439625759290927
-3.091025,-0.24838836,-0.057594065,1.6226692,-3.7668526,-2.1816022,0.35964835,0.2817357,3.2374263,-0.0386490826597346,0.755225238865694
-3.7543476,0.040000945,0.4117987,1.9314909,-2.468305,-1.0382526,-0.56523955,-0.2724345,3.8242395,-0.0768775231057326,0.651822746539856
-0.32299227,-0.24303848,3.0960352,2.9069805,0.112468295,1.7203889,-0.3422217,0.74633723,-0.53658354,-0.0759559719834906,0.34414389216377
-1.4182655,-1.5082204,-0.73926127,-0.771964,2.6405566,4.2666545,-1.6278316,-1.0219518,-1.9890484,-0.0576352925223975,0.195075210858199
-0.6437163,-0.9876884,-2.3011198,-0.48913532,2.136664,3.6976256,-0.43028763,-0.4396505,0.45476267,-0.0365692403786734,0.42095083078964
3.4030216,0.2292721,0.53936625,-0.8515653,1.8340852,3.1018994,0.34079883,0.075591,3.412167,-0.0201175600670973,0.688201114165272
0.3373345,0.32123274,1.6337596,0.6407424,1.7243583,-1.1540196,0.5021898,0.96965563,4.065443,-0.00985339840531056,0.58026240115176
-0.10113415,-0.24752092,1.5445577,0.18656844,-0.4549837,-0.4524159,0.81641436,1.4790151,1.4317113,-0.00439562659539399,0.288307604636975
-0.26741326,1.082535,2.1389492,0.6758186,0.6554201,2.2661784,1.3853638,1.3248461,-0.49507406,-0.0017990049956025,0.159144141205656
-4.262096,0.948305,-0.34868884,0.2476389,2.5842664,2.011473,0.12604772,0.30949888,-2.9787567,-0.00063817072613008,0.400976676631192
0.29943648,0.57598025,0.35898387,1.4448406,1.3588245,0.07958,0.7377259,-0.07408285,-1.569187,-0.000143405908650023,0.678347715759961
-1.3757184,0.28698844,-0.18724914,1.495254,-0.49502274,-1.5173573,0.36008552,-0.13060609,-0.763846,9.95908998626293e-05,0.575866774556366
-2.5834184,-1.4424794,-0.03816905,1.6450548,0.8119954,0.5701665,0.6135049,1.0881655,-1.7722005,0.0679324857964782,0.286114573254366
