L_Amyg,R_Amyg,L_FFA,R_FFA,L_IPG,R_IPG,L_TP,R_TP,mPFC,Nonsocial,Social
-1.0291699,-1.9609839,-0.516677,-0.44412473,0.28941095,1.0751771,-2.0459542,-2.2590678,2.641697,0.00112969346500733,0
0.015079137,-1.301893,-0.07074528,-0.14156409,0.46502322,0.99690163,-2.0374448,-1.7352779,2.2089887,0.113054609989902,0
0.22500882,-0.82732356,0.6251863,1.3949414,1.4176815,1.0678986,-1.4948361,-1.0244284,2.3220983,0.4814319489687,0
-0.06802006,-1.656326,0.96564966,1.7479601,1.0843561,1.1522449,-0.43538192,-1.2253437,1.8017757,0.764812356352437,0
2.775045,1.7051485,1.7709564,2.425138,1.625914,1.1637766,0.080932975,-1.1791993,1.9249587,0.623688202307342,0.00112969346500733
0.96722364,2.4059076,0.5293879,1.7353452,1.2154492,1.5660852,-1.0025872,-1.5083499,1.9806654,0.314716666162195,0.113054609989902
-1.2607167,0.77928627,1.7136012,3.3345413,1.4409214,1.5315005,-0.4862726,-0.7516182,1.8067658,0.08912400646023,0.4814319489687
-2.583331,-1.0318589,2.3900013,3.994898,1.2844555,2.1546829,-0.3380762,-1.5948868,2.240119,-0.026322119846557,0.764812356352437
2.863284,1.7879488,0.83983994,4.066575,1.4544224,2.0448542,0.0812796,-0.89344865,2.7882767,-0.0678730126335314,0.623688202307342
5.2152267,3.4291832,0.17249058,2.986872,1.1229788,0.3500742,0.15388016,-0.4849527,2.25486,0.0424814257508068,0.314716666162195
1.9991196,0.9632768,0.45826617,2.8398888,0.24402843,0.57398444,0.30947164,-1.7917492,0.35286576,0.427593487262564,0.08912400646023
-0.86195624,-0.038345177,-0.29502097,1.828995,0.21079762,0.7153701,1.3122296,-1.1679592,1.5223712,0.730724663823271,-0.026322119846557
0.7030029,3.0493193,-1.0795578,0.78598833,1.1785073,0.10675549,-0.02272966,-0.7865225,0.71806014,0.60498311448698,-0.0686086797115319
0.52239996,0.19055536,0.9484052,0.6374789,0.78873897,1.0928019,-0.47436935,1.0337386,1.1111312,0.305588581429501,0.018287951494262
2.4246376,1.0817908,-0.33613148,1.2596115,0.17037225,0.952634,-0.19141479,-0.2836466,-0.25007898,0.0850892688152043,0.385787297584792
0.64048374,0.30040774,-0.75738734,-0.21305798,0.19640787,0.18382493,-0.5066527,-0.61750287,-1.1289124,-0.0279603530225438,0.721137546336527
0.8030765,2.1975956,1.3096383,1.0772699,0.15188862,-0.24153689,-0.63043666,-0.31135926,-1.3289944,-0.0695669775650166,0.633117658719495
-2.022497,-1.1135497,0.04853884,0.26668084,0.92204446,0.027275935,-1.2546308,-0.26286313,0.08018975,-0.0706892084778917,0.33462178104407
-0.28594062,1.3074483,0.09993939,-0.03167627,0.598127,0.0873509,0.4161624,0.24445711,-0.35755515,-0.0538384617061353,0.102179337479816
-0.9695015,0.09749358,-1.2041286,-0.5700946,0.17449181,-0.48242834,-0.94180447,-0.91528183,-0.3360863,-0.032957999064159,-0.0203131616772741
0.9268184,0.8220626,-1.6449152,-2.8638637,-1.8408647,-2.8228395,-0.69911283,-1.2173731,-0.42942074,0.0943495221695402,-0.0675883961668998
1.1604164,-1.120035,-0.034921356,-2.634698,-1.2428623,-3.3695607,-2.0135307,-0.5794651,0.20534132,0.472303864236006,-0.0716763696268932
-0.23320402,1.3604865,0.19616678,1.0852929,0.62136656,-0.83739775,0.8536487,0.2796194,1.3234863,0.760777618707412,-0.055836287526795
2.0358973,-0.5220874,1.169443,1.7425926,1.672802,0.6268031,0.4447376,-0.58364874,1.0831243,0.622049969131355,-0.0359310696525433
1.606774,1.0239103,0.75599897,1.1307809,1.5596077,1.6893057,0.27165255,0.24720061,1.1509184,0.315282088160725,-0.0199741541584472
-0.67442125,-3.2634256,-1.1066633,-1.5284327,-0.49714026,0.32098207,-1.3393964,-0.8407726,0.09887186,0.202062592211335,-0.00985339840531056
2.6301832,0.64566755,0.45255038,-1.019449,-0.95370066,-2.183263,-0.4574265,-0.17815922,-0.033737376,0.455109829122142,-0.00439562659539399
1.2069767,0.8404748,-0.99995553,-0.5762167,-0.2785592,-2.2870245,-0.34374088,-0.6649567,-0.16030434,0.695809650253899,-0.0017990049956025
-0.71918905,2.059092,1.0436324,0.10249058,0.17362902,-0.38228732,-0.1717155,0.2564808,0.71614957,0.553115018068247,-0.000244144339123214
-0.15422933,-0.39491105,0.49737716,-0.88241017,0.14039825,0.9253598,-0.6422529,0.21085952,0.19280529,0.26087820445606,0.088717729824707
-1.3229982,0.6927532,0.8300277,-0.3061498,-0.22867423,-0.1941768,0.13453816,0.4122971,-0.010297543,0.0550363139310637,0.439625759290927
0.41947588,-0.4755347,-1.4232596,-1.3797364,-0.16971305,-1.1158984,0.3550438,0.080793634,-1.0371673,-0.0450272076669187,0.755225238865694
1.7004117,-1.3819181,-0.27420256,-1.1383381,-0.73351765,-0.3567938,-0.38254422,-0.78247535,-0.22214252,-0.0781307908312326,0.651822746539856
0.23578498,0.03312722,-1.1642082,-2.4290502,0.13917841,-0.96904826,-0.68792194,-0.26809567,-1.1825467,-0.0746079218841208,0.34414389216377
-1.0690787,-1.712542,-0.8823389,-3.3222094,-0.84419364,-1.3737793,-0.14120468,-0.3772465,-0.53670657,-0.055476694882122,0.195075210858199
0.004756555,1.2977413,-0.0028131818,-0.6633785,-1.8379127,-1.79914,0.10230833,0.46183828,-1.2624682,-0.0346519639956442,0.42095083078964
-1.8740722,-2.0014987,0.3610873,-0.22014531,-1.0630535,-1.8422211,-1.1669148,0.22798187,-1.3437188,-0.0188211120591583,0.688201114165272
1.6494671,1.5683074,-0.33360595,-0.3808877,-1.397319,-2.2348158,-0.14361553,0.11177308,-2.1047263,-0.00912808473269391,0.58026240115176
-0.45421216,0.5904964,-1.4150175,-1.847442,0.29569694,-0.18566439,0.08921542,0.65673965,-0.08426343,-0.00403473764502571,0.288307604636975
0.6137058,-0.5777917,-0.77768,-1.2100178,-1.0696131,-1.4192778,-0.31805208,-0.47241056,-2.015463,-0.00163823317598674,0.159144141205656
0.64612067,1.122968,0.648721,0.4442247,-0.86577904,-0.6856602,-1.1912194,-0.33803162,-1.6737516,-0.000564271466477839,0.400976676631192
-0.07294391,-0.3607963,0.45402774,0.17033266,-0.46250847,-1.5272835,-0.64614505,0.09869973,-1.1437236,-0.000116024238796585,0.678347715759961
1.231661,0.5840106,-0.76019675,-0.55004287,-0.36403647,-1.1346843,0.12818101,0.41778436,-2.445517,9.95908998626293e-05,0.575866774556366
-1.2329665,-2.584277,-1.2127017,-2.4095619,0.74384284,-0.69111484,0.7217354,0.048633907,-0.41498393,0.0679324857964782,0.286114573254366
-1.5970018,-1.8001845,-0.2863019,-1.6421683,-0.7211844,-1.6249719,-1.1777265,-0.49698728,-1.8084178,0.397781052752358,0.0696448347461687
-2.3693202,-2.3553765,0.050254945,-1.9863988,-1.5182917,-1.5151402,-0.28096816,-0.7179018,-1.9098103,0.740594116409033,-0.0387924885683847
-2.9759576,-1.6843792,-0.8592821,-2.4927046,-1.0811542,-1.3919568,0.19508414,-1.2835233,-2.6536992,0.677991239282359,-0.0768775231057326
0.062373422,-0.42409605,-1.5539749,-2.755896,-0.6910549,-2.4629512,0.77138156,-0.31973314,-2.7631443,0.373721760682434,-0.0759559719834906
-2.7336142,-1.509051,-2.5299187,-4.3631244,0.855207,-0.19049749,-0.30885118,0.194646,-2.5301979,0.124475627132401,-0.0576352925223975
-1.1568207,-1.701149,-0.24804899,-2.3526103,-0.24293482,0.00792712,0.97410256,0.02902463,-0.18042849,-0.0102725487131823,-0.0365692403786734
-0.8581338,-3.250389,-0.5364922,-1.892556,-0.61859274,1.4624205,-0.07244148,-0.3518907,1.0646056,-0.0646145023724884,-0.0201175600670973
1.7778314,-1.257963,-0.88352937,-1.5854093,-0.07139042,1.4666698,0.48413628,0.6636646,-0.1807934,-0.0722511818756177,-0.00985339840531056
-3.6867955,-3.4024415,-2.6836913,-3.2063951,-1.6427208,0.20271486,-0.20908047,0.11451409,-1.1381761,0.0101332365593056,-0.00439562659539399
1.2272764,1.1376039,-1.2494777,-1.9512365,-1.5649441,-0.91075355,-0.4914511,0.17830467,-1.3251656,0.359961802296021,-0.0017990049956025
-1.2077646,-0.44139853,-0.96760863,-0.8398078,-0.64709353,-0.5242221,0.7775352,0.8350363,-0.4477049,0.719290131706046,-0.00063817072613008
1.2921062,1.1284086,1.0095731,-0.37058014,-0.031218112,-0.8634196,1.4236761,1.4435328,-0.56118023,0.667379800225299,-0.000143405908650023
0.5493727,-2.9744031,0.8617547,-0.0068578073,0.097357854,1.1335492,0.1298028,0.40261775,-0.44202715,0.419222324234453,0
1.8658111,0.03588013,1.2022183,0.8645099,-0.35920325,-0.9702107,1.2632092,0.94993776,-0.049963742,0.478898056313608,0
1.3420131,0.20092538,-0.031537544,-0.06840336,-1.6596024,-2.717178,1.2125562,0.1301988,-1.1916363,0.710060656759049,0
0.21466471,-1.7471248,1.0354879,1.5965425,-0.8631056,-1.9617122,0.16601157,-0.16483432,-0.56493104,0.636957614115292,1.42503639134117e-05
0.8506298,-0.8975554,0.579076,-0.473986,-0.105179235,0.58622736,1.1350802,-0.15163183,0.24203719,0.332143782308535,0.0502852456240659
0.060559295,-0.92298645,1.1148518,1.6741409,-0.11112881,1.8817408,1.5634723,0.6403936,1.3773036,0.0861412535848889,0.356396511639618
-0.09045787,-1.6150839,0.728752,1.0455084,0.22064562,0.8799213,0.8267064,0.6359495,0.029185068,-0.0388944986837334,0.721052677396002
-0.71484774,-0.23575306,1.39734,1.7853776,0.19023679,-0.58913016,0.83192885,0.9973873,-0.16384758,-0.0830504133586584,0.701745852716097
0.8027742,2.1673868,0.28077215,1.031363,0.6047957,0.3969157,1.7903143,1.9000012,0.32388562,-0.0835497548355423,0.404494555084015
0.3026447,1.0645754,0.69154793,-0.23947148,0.9535034,2.3150003,1.486579,0.7755569,-0.44618604,-0.0644853018079558,0.143940502822062
-0.019970106,-1.6156175,-1.9406451,-1.8359939,-0.045861278,2.4175518,1.2502247,1.2169943,-0.5677177,0.00856349611130474,-0.00107524822739665
-1.4905142,0.22799951,-0.2290886,-1.735268,-1.2615932,0.26646084,0.807624,0.86549073,-1.5140231,0.332982177460002,-0.0617464286556713
-0.89005166,-1.6129076,-0.521438,-1.0978456,0.45870325,1.0389149,0.5342926,0.485752,-1.0907408,0.709432096663144,-0.0729240654145685
0.3139607,0.117613815,0.73699373,0.13743679,1.0266021,0.16937797,1.767944,1.873072,-0.981659,0.696556470667527,-0.0597148700998222
0.71915644,-0.83043605,0.06964437,0.11736729,0.9152898,0.4624625,1.6573076,0.94862723,0.37012285,0.452615238911345,-0.0397476670543498
2.0829318,2.900087,-1.0937986,-0.86753404,-0.06149683,-0.030860478,1.7216915,1.3088889,1.1962239,0.499528163679257,-0.0226948622558453
1.0265898,0.118701935,-0.5541169,0.2530691,-0.6601086,-0.42830935,2.044909,0.0844437,0.98204345,0.719770117975408,-0.0114468445045417
1.2187679,1.5158907,0.35665867,1.2589935,-0.54188085,-0.9665357,0.32622045,0.79764634,-0.44764447,0.639999424060425,-0.00520363241248339
-0.109764084,1.2523642,-2.470847,-2.271779,-0.45751956,-1.6103461,-0.12377517,0.8414367,-0.9317142,0.331570489669446,-0.00216456179673621
